InspectionDateAndId,direction_changes_count,direction_changes_mean,direction_changes_std,direction_change_freq_mean,direction_change_freq_std,direction_changes_min,direction_changes_max,direction_change_freq_min,direction_change_freq_max
20240201093611_20853,1,547.0,,15.379857166957207,,,,,
20240201094540_20855,1,341.0,,11.034884473496861,,,,,
20240201095412_20856,1,325.0,,9.780907668231613,,,,,
20240201095919_20857,1,432.0,,11.07777521347796,,,,,
20240201100508_20861,1,426.0,,14.137324527926193,,,,,
20240201103908_20865,1,390.0,,12.019601195796222,,,,,
20240201104941_20866,1,442.0,,13.341382432840327,,,,,
20240201105304_20868,1,343.0,,10.453492624649519,,,,,
20240201111212_20871,1,888.0,,19.285481594092737,,,,,
20240201113921_20873,1,404.0,,11.623223430577132,,,,,
20240201114830_20875,1,385.0,,11.35057047672396,,,,,
20240201115537_20877,1,320.0,,10.570475341062993,,,,,
20240201115545_20878,1,399.0,,12.73417802317046,,,,,
20240201121425_20880,1,280.0,,8.983572895277208,,,,,
20240201125253_20883,1,328.0,,10.019550342130987,,,,,
20240201131902_20884,1,385.0,,12.200532386867792,,,,,
20240201135901_20886,1,360.0,,11.113169105389886,,,,,
20240201143646_20890,1,579.0,,15.759390310288515,,,,,
20240201150627_20894,1,463.0,,13.986225229579507,,,,,
20240201151025_20895,1,437.0,,13.527736503219415,,,,,
20240201154247_20902,1,289.0,,9.1676183225479,,,,,
20240201154316_20903,1,360.0,,12.28627009317088,,,,,
20240201155828_20906,1,476.0,,11.432688843521076,,,,,
20240202085315_20909,1,450.0,,14.925868187999603,,,,,
20240202092306_20912,1,282.0,,9.300791556728232,,,,,
20240202092909_20914,1,420.0,,11.91827468785471,,,,,
20240202093717_20916,1,420.0,,14.016820184221064,,,,,
20240202093838_20917,1,316.0,,10.584491709931335,,,,,
20240202095010_20919,1,319.0,,10.428585439210174,,,,,
20240202100346_20921,1,0.0,,0.0,,,,,
20240202100352_20922,1,387.0,,11.971046770601337,,,,,
20240202100820_20924,1,334.0,,10.759616004123446,,,,,
20240202102720_20929,1,483.0,,15.574114081191759,,,,,
20240202103124_20930,1,318.0,,10.536081107945133,,,,,
20240202104157_20932,1,320.0,,9.605282905598079,,,,,
20240202104702_20934,1,387.0,,12.124819850867848,,,,,
20240202105448_20936,1,335.0,,11.121439479450235,,,,,
20240202121622_20943,1,403.0,,12.254082160124062,,,,,
20240202122640_20944,1,0.0,,0.0,,,,,
20240202134927_20946,1,336.0,,10.445162894802289,,,,,
20240202144329_20951,1,403.0,,12.09483793517407,,,,,
20240202145036_20953,1,322.0,,10.820256056991163,,,,,
20240202145945_20954,1,528.0,,14.971927635683095,,,,,
20240202150958_20956,1,402.0,,13.44391679486322,,,,,
20240202151052_20957,1,448.0,,13.863101869043197,,,,,
20240202151426_20958,1,337.0,,11.357891543931785,,,,,
20240202152520_20960,1,367.0,,11.965310380803338,,,,,
20240202155917_30931,1,360.0,,11.058209184457072,,,,,
20240202164410_30934,1,424.0,,13.248757928944162,,,,,
20240202165707_30936,1,484.0,,15.958849907676074,,,,,
20240203082718_30938,1,455.0,,13.855898653998416,,,,,
20240203083242_30940,1,457.0,,14.823704953128548,,,,,
20240203084007_30941,1,365.0,,11.810004529864752,,,,,
20240203090114_30943,1,333.0,,11.10185030838473,,,,,
20240203092249_30946,1,492.0,,15.867384784081013,,,,,
20240203093843_30947,1,829.0,,23.441255478580516,,,,,
20240203094446_30948,1,355.0,,10.198218902614192,,,,,
20240203095354_30949,1,397.0,,13.21087484609497,,,,,
20240203100107_30951,1,675.0,,15.179454888908879,,,,,
20240203100746_30953,1,338.0,,11.221406991799741,,,,,
20240203101825_30954,1,876.0,,29.527758115077358,,,,,
20240203103656_30957,1,294.0,,9.808173477898249,,,,,
20240203110134_30959,1,525.0,,13.891828958509738,,,,,
20240203110322_30960,1,419.0,,13.050926646939729,,,,,
20240203120122_30968,1,479.0,,12.74715916651143,,,,,
20240203122451_30970,1,903.0,,29.78919935341273,,,,,
20240203131753_30972,1,306.0,,9.943781886718877,,,,,
20240203133316_30974,1,394.0,,12.176277891093394,,,,,
20240203133420_30975,1,424.0,,10.103657810079827,,,,,
20240203134744_30976,1,441.0,,13.539236153751688,,,,,
20240203140416_30977,1,319.0,,10.603643132562159,,,,,
20240203140622_30978,1,551.0,,15.853833980722198,,,,,
20240203141108_30979,1,263.0,,8.648755302706435,,,,,
20240203141431_30980,1,350.0,,9.912206173888418,,,,,
20240203141903_30981,1,418.0,,14.095430787388299,,,,,
20240203143217_30982,1,390.0,,12.72679806813732,,,,,
20240203144808_30983,1,323.0,,10.657252210637456,,,,,
20240203154843_30989,1,414.0,,13.687760365006943,,,,,
20240206090554_30998,1,404.0,,13.385018056521883,,,,,
20240206091357_30999,1,323.0,,10.77277123703432,,,,,
20240206093344_31000,1,461.0,,13.334876052182466,,,,,
20240206093911_31001,1,344.0,,10.560245587106676,,,,,
20240206094813_31003,1,425.0,,12.858915010135851,,,,,
20240206095549_31005,1,340.0,,10.037789324515824,,,,,
20240206100327_31007,1,318.0,,10.6010601060106,,,,,
20240206104628_31011,1,432.0,,13.5236664162284,,,,,
20240206110144_31013,1,395.0,,13.098119839506582,,,,,
20240206111046_31014,1,360.0,,11.690968726658657,,,,,
20240206120544_31023,1,288.0,,9.5102862992438,,,,,
20240206120717_31024,1,306.0,,10.170505533951541,,,,,
20240206122009_31025,1,357.0,,11.664760660022873,,,,,
20240206122314_31026,1,345.0,,10.943695479777952,,,,,
20240206142249_31031,1,390.0,,12.034437004350913,,,,,
20240206150219_31035,1,395.0,,11.08336373074441,,,,,
20240206152706_31038,1,412.0,,11.572708631780007,,,,,
20240206153957_31041,1,326.0,,10.775790830661421,,,,,
20240206160345_31045,1,433.0,,13.120019392176468,,,,,
20240206165912_31047,1,273.0,,8.951700167229564,,,,,
20240207085007_31050,1,399.0,,11.774774243050228,,,,,
20240207092250_31055,1,262.0,,8.767526687414248,,,,,
20240207093206_31056,1,421.0,,13.4440364042791,,,,,
20240207094238_31057,1,501.0,,13.517888942852517,,,,,
20240207094841_31058,1,781.0,,16.255932062276248,,,,,
20240207095306_31060,1,358.0,,11.165169660678643,,,,,
20240207102706_31065,1,299.0,,10.037936012354383,,,,,
20240207103838_31068,1,333.0,,11.14681662984535,,,,,
20240207110028_31070,1,465.0,,15.4865782988077,,,,,
20240207110824_31072,1,318.0,,9.770785964481043,,,,,
20240207113738_31074,1,458.0,,13.568360242926973,,,,,
20240207121805_31077,1,295.0,,9.480043704608265,,,,,
20240207132628_31082,1,438.0,,12.145075421472937,,,,,
20240207133349_31083,1,369.0,,11.022822320468395,,,,,
20240207133746_31084,1,432.0,,14.087262766581883,,,,,
20240207135136_31085,1,413.0,,12.212070138088057,,,,,
20240207140157_31086,1,341.0,,10.6755995241375,,,,,
20240207141154_31088,1,480.0,,13.358937964431828,,,,,
20240207141814_31089,1,426.0,,14.15799793944631,,,,,
20240207143526_31091,1,382.0,,11.611648124506049,,,,,
20240207144013_31093,1,464.0,,14.938828074694142,,,,,
20240207145422_31094,1,365.0,,10.682822606608717,,,,,
20240207145528_31095,1,438.0,,14.309984317825405,,,,,
20240207152141_31099,1,452.0,,12.580716989534626,,,,,
20240207154324_31102,1,526.0,,16.821234409977617,,,,,
20240208081633_31105,1,363.0,,11.394669931255297,,,,,
20240208082553_31106,1,286.0,,9.202059202059202,,,,,
20240208084642_31110,1,365.0,,12.237234720219936,,,,,
20240208093540_31113,1,401.0,,13.416307002576199,,,,,
20240208093832_31114,1,381.0,,12.772376801877304,,,,,
20240208094551_31115,1,318.0,,10.555315829654463,,,,,
20240208095055_31117,1,514.0,,14.433337077389645,,,,,
20240208100614_31120,1,290.0,,9.740695955931747,,,,,
20240208101803_31121,1,382.0,,11.468027619333533,,,,,
20240208103234_31124,1,466.0,,15.308804204993429,,,,,
20240208104512_31125,1,425.0,,13.828783392444604,,,,,
20240208105418_31126,1,345.0,,11.594689968072593,,,,,
20240208110704_31128,1,409.0,,12.202034666905337,,,,,
20240208114359_31133,1,371.0,,11.700148222902016,,,,,
20240208114816_31135,1,393.0,,12.706521387694398,,,,,
20240208131806_31139,1,371.0,,9.672541453749087,,,,,
20240208133640_31140,1,368.0,,11.729457512590042,,,,,
20240208140139_31144,1,398.0,,12.14859131284149,,,,,
20240208140824_31145,1,345.0,,11.426868044515103,,,,,
20240208144829_31151,1,297.0,,9.867765300019935,,,,,
