InspectionDateAndId,direction_changes_count,direction_changes_mean,direction_changes_std,direction_change_freq_mean,direction_change_freq_std,direction_changes_min,direction_changes_max,direction_change_freq_min,direction_change_freq_max
20241009101605_1,1,875.0,,28.494203464895143,,,,,
20241009101953_2,1,1034.0,,28.91741477193277,,,,,
20241009102622_3,1,1016.0,,24.266743097353586,,,,,
20241009103059_5,1,0.0,,0.0,,,,,
20241009103234_6,1,672.0,,23.63783460550846,,,,,
20241009104511_13,1,521.0,,14.90487769989987,,,,,
20241009104832_14,1,0.0,,0.0,,,,,
20241009104851_15,1,635.0,,21.287294669795507,,,,,
20241009105622_19,1,546.0,,19.152518591272624,,,,,
20241009110028_22,1,578.0,,20.788375773270033,,,,,
20241009110048_23,1,734.0,,24.00575614861329,,,,,
20241009110638_25,1,0.0,,0.0,,,,,
20241009111801_32,1,778.0,,25.17147664035201,,,,,
20241009111855_34,1,699.0,,24.406424581005588,,,,,
20241009112415_36,1,658.0,,22.62879152623977,,,,,
20241009112532_37,1,640.0,,22.596476361967305,,,,,
20241009113031_40,1,1066.0,,24.682782254329908,,,,,
20241009113206_42,1,1542.0,,45.01795463171109,,,,,
20241009113513_44,1,1007.0,,29.20957215373459,,,,,
20241009113623_45,1,533.0,,17.933447730560886,,,,,
20241009113714_46,1,1957.0,,67.27166477604757,,,,,
20241009114235_48,1,639.0,,21.505014471292995,,,,,
20241009114326_50,1,842.0,,25.507421993335353,,,,,
20241009114700_52,1,1265.0,,40.74205288415086,,,,,
20241009114928_53,1,0.0,,0.0,,,,,
20241009114937_54,1,0.0,,0.0,,,,,
20241009115138_55,1,597.0,,19.14075024046169,,,,,
20241009115410_57,1,677.0,,21.481834047279076,,,,,
20241009115630_58,1,762.0,,24.100196090834334,,,,,
20241009115648_59,1,0.0,,0.0,,,,,
20241009120310_63,1,1836.0,,35.31108760457737,,,,,
20241009120510_64,1,1092.0,,35.68977350720659,,,,,
20241009122013_74,1,1087.0,,36.55132990349373,,,,,
20241009122306_76,1,644.0,,20.913164902253687,,,,,
20241009122509_77,1,1082.0,,32.31683641468295,,,,,
20241009122612_78,1,979.0,,28.941378189020604,,,,,
20241009122923_80,1,1432.0,,37.20640199542714,,,,,
20241009123054_81,1,902.0,,26.86762778505898,,,,,
20241009123619_84,1,864.0,,31.433041073962233,,,,,
20241009124003_86,1,1066.0,,32.53074552168208,,,,,
20241009134250_88,1,680.0,,23.235153420351264,,,,,
20241009134534_89,1,444.0,,13.869365570237091,,,,,
20241009135626_91,1,0.0,,0.0,,,,,
20241009140440_95,1,0.0,,0.0,,,,,
20241009140537_96,1,626.0,,19.20068705333865,,,,,
20241009141259_103,1,0.0,,0.0,,,,,
20241009141636_105,1,743.0,,25.644565630069376,,,,,
20241009141929_107,1,2628.0,,83.49483717235901,,,,,
20241009142157_108,1,921.0,,19.508165469911674,,,,,
20241009142541_110,1,689.0,,23.85568866421993,,,,,
20241009142805_111,1,479.0,,16.156233135456016,,,,,
20241009142901_112,1,595.0,,20.759193357058123,,,,,
20241009142949_113,1,0.0,,0.0,,,,,
20241009143249_114,1,595.0,,20.31063321385902,,,,,
20241009143704_118,1,1234.0,,28.57142857142857,,,,,
20241009144121_120,1,731.0,,25.753038576713053,,,,,
20241009144148_121,1,847.0,,27.31465058531394,,,,,
20241009144508_123,1,940.0,,25.122942056874063,,,,,
20241009144606_124,1,0.0,,0.0,,,,,
20241009145220_128,1,959.0,,25.296755473489846,,,,,
20241009145521_130,1,911.0,,25.79056139059536,,,,,
20241009145632_132,1,1485.0,,50.53426801878445,,,,,
20241009150252_135,1,790.0,,27.0362765229295,,,,,
20241009150826_140,1,540.0,,18.27473010930996,,,,,
20241009150907_141,1,2476.0,,80.29315432759347,,,,,
20241009151242_143,1,765.0,,25.19928849067791,,,,,
20241009151400_144,1,701.0,,24.627599775154582,,,,,
20241009151614_146,1,1033.0,,35.93418443663687,,,,,
20241009151709_147,1,892.0,,28.34445503654274,,,,,
20241009152049_148,1,0.0,,0.0,,,,,
20241009152049_149,1,562.0,,19.52541430705625,,,,,
20241009152123_151,1,855.0,,31.96620181702621,,,,,
20241009152427_153,1,1022.0,,23.722754810705414,,,,,
20241009152439_154,1,793.0,,29.31716514473733,,,,,
20241009152619_155,1,813.0,,24.17556275833358,,,,,
20241009152816_156,1,1025.0,,26.86762778505898,,,,,
20241009152839_157,1,1089.0,,23.586233783110607,,,,,
20241009152941_158,1,1888.0,,63.751477291912884,,,,,
20241009152944_159,1,652.0,,22.492065682351317,,,,,
20241009153242_160,1,860.0,,25.750044912869033,,,,,
20241009153614_163,1,666.0,,22.86695278969957,,,,,
20241009154359_167,1,873.0,,29.01681845376587,,,,,
20241009154821_170,1,637.0,,22.316423766816143,,,,,
20241009154932_171,1,635.0,,22.467537062590665,,,,,
20241009155328_172,1,916.0,,31.561175619336392,,,,,
20241009155402_173,1,744.0,,22.064056939501782,,,,,
20241009155734_174,1,1074.0,,31.68889413430898,,,,,
20241009155739_175,1,1470.0,,48.52125693160813,,,,,
20241009155805_176,1,568.0,,19.660101761794333,,,,,
20241009160110_178,1,675.0,,23.387152657473493,,,,,
20241009160159_179,1,882.0,,26.519935053220276,,,,,
20241015102359_180,1,797.0,,24.037881529738208,,,,,
20241015103008_183,1,1503.0,,36.74547099234775,,,,,
20241015103315_184,1,564.0,,19.56159822419534,,,,,
20241015103327_185,1,683.0,,20.88493410390484,,,,,
20241015103543_186,1,853.0,,23.66683313911548,,,,,
20241015103656_187,1,1302.0,,45.977823292605414,,,,,
20241015103701_188,1,733.0,,25.355425645992597,,,,,
20241015104140_191,1,0.0,,0.0,,,,,
20241015104235_192,1,0.0,,0.0,,,,,
20241015104417_193,1,1114.0,,30.713241983954124,,,,,
20241015104719_195,1,0.0,,0.0,,,,,
20241015104747_196,1,1521.0,,53.526182432432435,,,,,
20241015104852_197,1,1908.0,,48.73687705943958,,,,,
20241015105031_198,1,603.0,,17.886805885144756,,,,,
20241015110109_204,1,649.0,,20.706377819608843,,,,,
20241015110331_207,1,649.0,,19.900039861404963,,,,,
20241015110457_208,1,794.0,,25.225568687253784,,,,,
20241015110529_209,1,536.0,,18.913864285966337,,,,,
20241015110715_211,1,1222.0,,25.879961031809902,,,,,
20241015111005_212,1,0.0,,0.0,,,,,
20241015111213_213,1,527.0,,17.057224236147075,,,,,
20241015111230_214,1,0.0,,0.0,,,,,
20241015111424_216,1,0.0,,0.0,,,,,
20241015111524_217,1,591.0,,20.820856085960894,,,,,
20241015112026_222,1,2036.0,,48.87064640791148,,,,,
20241015112146_224,1,795.0,,21.62617991893583,,,,,
20241015112713_229,1,565.0,,16.34412334750788,,,,,
20241015113045_231,1,0.0,,0.0,,,,,
20241015113241_233,1,1406.0,,40.800928612884505,,,,,
20241015113318_234,1,672.0,,23.283209756773612,,,,,
20241015113539_236,1,573.0,,19.62597616111796,,,,,
20241015113711_237,1,718.0,,25.05845810211845,,,,,
20241015114023_239,1,0.0,,0.0,,,,,
20241015114215_240,1,956.0,,26.839608074342344,,,,,
20241015114315_241,1,648.0,,20.78655289664464,,,,,
20241015114613_242,1,852.0,,21.160341744486388,,,,,
20241015114623_243,1,718.0,,23.75281196241895,,,,,
20241015114636_244,1,1484.0,,31.186953597848017,,,,,
20241015115030_246,1,0.0,,0.0,,,,,
20241015115118_247,1,776.0,,24.53056837579819,,,,,
20241015115548_251,1,689.0,,22.346187526351635,,,,,
20241015115628_252,1,812.0,,23.541690826858403,,,,,
20241015120412_256,1,625.0,,20.849317810321246,,,,,
20241015120428_257,1,833.0,,27.97742997245919,,,,,
20241015121512_264,1,1059.0,,17.813288477712362,,,,,
20241015121723_266,1,0.0,,0.0,,,,,
20241015121937_267,1,1193.0,,25.092018088127038,,,,,
20241015122010_268,1,1493.0,,38.724905327592474,,,,,
20241015122131_270,1,733.0,,18.697548656990538,,,,,
20241015122351_271,1,1195.0,,29.109422196238917,,,,,
20241015122732_273,1,0.0,,0.0,,,,,
20241015122943_274,1,0.0,,0.0,,,,,
