folder,sensitivity_count
20241009104009_9,37.0
20241009105752_21,19.0
20241009120527_65,21.0
20241009121014_68,21.0
20241009121255_70,52.0
20241009140251_93,17.0
20241009141100_100,18.0
20241009141612_104,20.0
20241009141810_106,20.0
20241009142410_109,29.0
20241009143339_115,23.0
20241009151434_145,30.0
20241009153311_161,20.0
20241015102510_181,21.0
20241015103811_189,24.0
20241015104127_190,37.0
20241015114639_245,34.0
20241015115138_248,28.0
20241015120712_258,16.0
20241015120905_259,23.0
20241015123237_276,21.0
20241015142336_297,17.0
20241015150734_329,16.0
20241015155714_361,17.0
20241016100746_378,54.0
20241016101418_382,54.0
20241016102219_387,27.0
20241016102622_389,54.0
20241016102941_392,16.0
20241016104253_400,49.0
20241016104318_402,54.0
20241016104759_404,54.0
20241016104821_405,54.0
20241016111301_417,47.0
20241016111423_419,20.0
20241016112008_421,22.0
20241016112819_427,16.0
20241016114939_440,54.0
20241016115038_441,54.0
20241016121805_459,17.0
20241016122635_466,17.0
20241016123702_473,26.0
20241016124637_477,24.0
20241016125058_478,26.0
20241016141819_491,44.0
20241016142118_492,54.0
20241016142414_493,25.0
20241016143400_498,22.0
20241016143401_499,33.0
20241016143446_500,33.0
20241016143630_501,54.0
20241016143726_502,54.0
20241016144129_504,54.0
20241016145823_514,16.0
20241016152023_530,34.0
20241016152047_531,17.0
20241016152300_534,54.0
20241016154215_545,54.0
20241016162148_569,42.0
20241016162541_572,26.0
20241017103553_602,24.0
20241017104425_607,18.0
20241017114052_640,42.0
20241017114443_644,45.0
20241017121516_657,27.0
20241017122716_659,49.0
20241017140559_674,18.0
20241017141115_678,21.0
20241017142123_682,39.0
20241017144645_702,16.0
20241017152402_731,22.0
20241018102737_779,21.0
20241018103742_786,30.0
20241018104200_789,16.0
20241018104826_792,17.0
20241018105322_794,21.0
20241018105944_798,27.0
20241018144251_872,19.0
20241018152828_902,23.0
20241018161059_924,51.0
20241018161628_925,28.0
20241018162156_927,48.0
20241025104426_947,17.0
20241025105210_954,28.0
20241025114544_988,30.0
20241025135136_1017,33.0
20241025135507_1021,20.0
20241025140850_1030,36.0
20241025144314_1051,17.0
20241025153028_1081,16.0
