node_id,node_x,node_y,duration,start_time,end_time
0,14.151829999999997,-1.5745390000000004,174,4345,4519
1,13.684126000000001,-1.1590095,106,4808,4914
2,-9.629009249999998,17.17816666666667,158,5391,5549
3,-15.512249999999998,11.931849999999999,144,5894,6038
4,-15.483604615384614,11.818722307692306,140,6056,6196
5,-15.789436363636362,11.235391818181817,142,7028,7170
6,-15.34445294117647,11.464073529411765,178,7208,7386
7,10.516872000000001,9.5779212,104,8535,8639
8,12.879412222222221,3.536769222222222,314,9704,10018
9,7.512426153846154,11.560765384615385,121,14567,14688
10,4.869452,14.14088,216,15622,15838
11,-13.418465333333337,-1.5932422666666668,383,17172,17555
12,-13.804404,-1.9415351,103,17582,17685
13,-11.154288461538462,16.90204153846154,179,18040,18219
14,-2.1517410000000003,15.885030000000002,179,20355,20534
15,13.52974375,13.72197125,109,21511,21620
16,-7.651730000000001,16.55485857142857,156,22080,22236
17,-7.318156375000001,16.585106666666665,293,22261,22554
18,-7.0164595625,16.313915625,168,22787,22955
19,7.846096000000001,15.597970000000002,158,23810,23968
20,7.846096,15.597970000000002,126,23996,24122
21,7.684962,17.915520000000008,162,24827,24989
22,8.7961514,8.352273599999998,289,27245,27534
23,6.537371,18.538199999999996,106,27938,28044
24,-7.8839175428571435,16.434662857142857,410,28677,29087
25,7.846096,15.59797,105,29587,29692
26,7.717496499999998,15.535017999999999,126,29726,29852
27,-12.777154705882353,7.3826131764705885,182,33917,34099
28,-10.217517699999998,11.277235000000001,103,34843,34946
29,-5.665337666666669,16.874536666666664,273,35106,35379
30,-6.9761516,18.613432,106,35796,35902
31,-6.129730454545453,18.485286363636366,111,36426,36537
32,-3.237511125,19.92122375,126,38284,38410
33,-2.8024256153846157,19.998039230769226,130,38428,38558
34,-3.2766646111111113,19.972914444444445,191,38645,38836
35,-12.005875000000001,7.519969499999999,130,39024,39154
36,-12.26792,7.437033,218,39220,39438
37,-12.35974266666667,7.354115800000001,160,39486,39646
38,3.7173645,-7.6731810000000005,121,40843,40964
39,-5.337789076923078,-11.28258076923077,136,42562,42698
40,-11.934699166666666,-1.3614054166666667,134,44376,44510
41,-12.269485384615386,-1.1305948153846155,170,44539,44709
42,-12.125630833333334,-0.8863891,133,44727,44860
43,11.974875,10.928434,103,46155,46258
44,2.393555,-13.735823333333334,124,46978,47102
45,0.6646643,-4.630072750000001,121,47644,47765
46,-11.164932666666665,-5.013162666666667,140,53153,53293
47,15.073104545454548,6.841284181818182,108,57036,57144
48,14.982930000000003,6.184484,130,57162,57292
49,-15.44135230769231,2.5303633846153843,123,57826,57949
50,-4.318459999999999,0.9759854285714281,126,58552,58678
51,3.902152384615385,0.6038266692307693,120,59250,59370
52,-10.702427647058826,-4.10351805882353,158,62046,62204
53,-10.55261076923077,-4.299890076923076,142,62222,62364
54,-10.581433076923076,-4.444010076923076,139,65112,65251
55,-10.755703333333331,-3.221328833333333,110,65362,65472
56,-16.289761428571428,7.660236095238094,197,65978,66175
57,3.96941975,3.5599078333333334,114,67006,67120
58,-15.726789615384613,12.842837692307695,315,70504,70819
59,-15.277279230769235,12.522053846153845,125,70837,70962
60,-15.234708888888889,7.635132000000002,164,72777,72941
61,-1.8047625384615382,20.740384615384617,121,73761,73882
62,6.151246,12.978199999999996,152,76164,76316
63,-14.895755333333337,17.83128466666667,165,76867,77032
64,-14.764171,17.864719,186,77050,77236
65,11.427121666666665,-4.572567500000001,117,81279,81396
66,11.605614666666668,0.5152747266666667,168,84846,85014
67,-16.063129230769228,2.2295082692307693,251,85500,85751
68,-16.589930000000003,1.420427,111,85770,85881
69,-16.530025,2.0035945,110,85901,86011
70,3.05868,-8.695747,152,86463,86615
71,-16.092285454545454,2.7199234545454547,101,87715,87816
72,-10.659949677419359,13.145060645161289,292,88121,88413
73,-2.7817909999999997,6.3343229999999995,113,94379,94492
74,-1.122715223076923,1.0097882461538463,120,94796,94916
75,-13.455643448275865,4.610879655172414,286,96185,96471
76,4.843189714285715,-6.748794142857143,153,98479,98632
77,-10.610063333333335,14.014389166666666,229,99474,99703
78,13.250488181818183,6.630458181818181,127,102898,103025
79,-6.208884923076924,15.235204615384614,119,103417,103536
80,-7.443651,15.52444,102,103854,103956
81,-7.229666499999999,15.634406000000004,190,103984,104174
82,13.365741818181819,1.2176415454545453,119,106144,106263
83,9.83217675,-2.3559066666666673,113,107021,107134
84,13.814262857142854,7.499801571428574,161,107713,107874
85,13.947630000000002,7.560561000000002,100,107902,108002
86,-6.368886749999999,15.505489999999996,105,108150,108255
87,-7.3879911875,15.837464375,226,108418,108644
88,-14.084235,1.6030646666666666,111,110346,110457
89,0.5970081272727273,0.19379378181818183,100,110559,110659
90,-13.828601578947367,5.370415789473685,255,114396,114651
91,-13.730978421052633,5.594908789473685,180,114745,114925
92,-10.482912,14.300383,111,115353,115464
